"id_filme";"nome_titulo_filme";"ano_lancamento_filme";"indicado_posicao_ranking_filme";"classificacao_indicativa";"duracao";"orcamento";"bilheteria";"slogan"
21;"It's a Wonderful Life";"1946";21;"PG";"2h 10m";"3180000";"8574081";"Frank Capra's...""It's a Wonderful Life""."
22;"The Silence of the Lambs";"1991";22;"R";"1h 58m";"19000000";"272742922";"Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer."
23;"City of God";"2002";23;"R";"2h 10m";"$3300000";"30680793";"If you run, the beast will get you. If you stay, the beast will eat you"
24;"Saving Private Ryan";"1998";24;"R";"2h 49m";"70000000";"482349603";"In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One."
25;"Interstellar";"2014";25;"PG-13";"2h 49m";"165000000";"773867216";"Mankind was born on Earth. It was never meant to die here."
26;"Life Is Beautiful";"1997";26;"PG-13";"1h 56m";"20000000";"230098753";"An unforgettable fable that proves love, family and imagination conquer all. (Canadian one sheet)"
27;"The Green Mile";"1999";27;"R";"3h 9m";"60000000";"286801374";"Miracles do happen."
28;"Star Wars: Episode IV - A New Hope";"1977";28;"PG";"2h 1m";"11000000";"775398007";"It's Back! The Force will be with you for three weeks only. (1979 Reissue Poster)"
29;"Terminator 2: Judgment Day";"1991";29;"R";"2h 17m";"102000000";"520881154";"It's nothing personal."
30;"Back to the Future";"1985";30;"PG";"1h 56m";"19000000";"383336762";"He's the only kid ever to get into trouble before he was born. [UK]"
31;"Spirited Away";"2001";31;"PG";"2h 5m";"19000000";"355822319";"The tunnel led Chihiro to a mysterious town."
32;"The Pianist";"2002";32;"R";"2h 30m";"35000000";"120072577";"Music was his passion. Survival was his masterpiece."
33;"Psycho";"1960";33;"R";"1h 49m";"806947";"32052925";"The picture you MUST see from the beginning... Or not at all!... For no one will be seated after the start of... Alfred Hitchcock's greatest shocker Psycho."
34;"Parasite";"2019";34;"R";"2h 12m";"11400000";"262676096";"Misplaced familyhood (Australia/New Zealand/Singapore)"
35;"Léon: The Professional";"1994";35;"R";"1h 50m";"RF 115000000";"19569225";"If you want the job done right, hire a professional."
36;"The Lion King";"1994";36;"G";"1h 28m";"45000000";"968511805";"See it for the first time ever in 3D (2011 3D re-release)"
37;"Gladiator";"2000";37;"R";"2h 35m";"103000000";"503162313";"Father of a murdered son, husband to a murdered wife and I shall have my vengeance in this life or the next"
38;"American History X";"1998";38;"R";"1h 59m";"20000000";"23875127";"His father taught him to hate. His friends taught him rage. His enemies gave him hope."
39;"The Departed";"2006";39;"R";"2h 31m";"90000000";"291480452";"Lies. Betrayal. Sacrifice. How far will you take it?"
40;"The Usual Suspects";"1995";40;"R";"1h 46m";"6000000";"23341568";"The greatest trick the devil ever pulled was to convince the world he didn't exist"
41;"The Prestige";"2006";41;"PG-13";"2h 10m";"40000000";"109676311";"A Friendship That Became a Rivalry."
42;"Whiplash";"2014";42;"R";"1h 46m";"3300000";"49396747";"The road to greatness can take you to the edge"
43;"Casablanca";"1942";43;"PG";"1h 42m";"950000";"4626532";"Where Love Cuts as Deep as a Dagger!"
44;"Grave of the Fireflies";"1988";44;"Not Rated";"1h 29m";"3700000";"516962";"imationDramaWar"
45;"Harakiri";"1962";45;"Not Rated";"2h 13m";"Not Available";"Not Available";"The World Has Never Understood Why the Japanese Prefer Death to Dishonor! This Samurai Picture Provides The Answer!!"
46;"The Intouchables";"2011";46;"R";"1h 52m";"9500000";"426588510";"Sometimes you have to reach into someone else's world to find out what's missing in your own."
47;"Modern Times";"1936";47;"G";"1h 27m";"1500000";"463618";"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!"
48;"Once Upon a Time in the West";"1968";48;"PG-13";"2h 45m";"5000000";"5435024";"There were three men in her life. One knew her past. One wanted her land. One wanted revenge."
49;"Rear Window";"1954";49;"PG";"1h 52m";"1000000";"37034579";"The Essential Hitchcock"
50;"Cinema Paradiso";"1988";50;"PG";"2h 35m";"5000000";"13019063";"A celebration of youth, friendship, and the everlasting magic of the movies."
51;"Alien";"1979";51;"R";"1h 57m";"11000000";"106285522";"In space no one can hear you scream."
52;"City Lights";"1931";52;"G";"1h 27m";"1500000";"50419";"HE RETURNS -And the world rocks again with laughter. (Print Ad-Daily Examiner, ((Grafton, NSW)) 6 July 1931)"
53;"Apocalypse Now";"1979";53;"R";"2h 27m";"31500000";"104880868";"The Horror. . . The Horror. . ."
54;"Memento";"2000";54;"R";"1h 53m";"9000000";"40047078";"Some memories are best forgotten"
55;"Django Unchained";"2012";55;"R";"2h 45m";"100000000";"426074373";"Life, liberty and the pursuit of vengeance."
56;"Indiana Jones and the Raiders of the Lost Ark";"1981";56;"PG";"1h 55m";"18000000";"389925971";"Indiana Jones - the new hero from the creators of JAWS and STAR WARS."
57;"WALL·E";"2008";57;"G";"1h 38m";"180000000";"521311890";"After 700 years of doing what he was built for - he'll discover what he's meant for."
58;"The Lives of Others";"2006";58;"R";"2h 17m";"2000000";"77356942";"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets"
59;"Sunset Blvd.";"1950";59;"Passed";"1h 50m";"1752000";"300073";"A Hollywood Story"
60;"Paths of Glory";"1957";60;"Approved";"1h 28m";"935000";"5252";"Never has the screen thrust so deeply into the guts of war!"
61;"The Shining";"1980";61;"R";"2h 26m";"19000000";"47335804";"Iconic terror from the No 1 bestselling writer."
62;"The Great Dictator";"1940";62;"G";"2h 5m";"2000000";"970263";"The Comedy Masterpiece!"
63;"Avengers: Infinity War";"2018";63;"PG-13";"2h 29m";"321000000";"2052415039";"An entire universe. Once and for all."
64;"Witness for the Prosecution";"1957";64;"Approved";"1h 56m";"3000000";"7693";"The most electrifying entertainment of our time!"
65;"Aliens";"1986";65;"R";"2h 17m";"18500000";"131060248";"This time there's more."
66;"Spider-Man: Into the Spider-Verse";"2018";66;"PG";"1h 57m";"Not Available";"Not Available";"Enter a universe where more than one wears the mask."
67;"American Beauty";"1999";67;"R";"2h 2m";"15000000";"356296601";"... look closer"
68;"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb";"1964";68;"PG";"1h 35m";"1800000";"9523464";"The comedy classic from celebrated director STANLEY KUBRICK"
69;"The Dark Knight Rises";"2012";69;"PG-13";"2h 44m";"250000000";"1081169825";"The Legend Ends"
70;"Oldboy";"2003";70;"R";"2h";"3000000";"15421226";"15 years of imprisonment, five days of vengeance"
71;"Inglourious Basterds";"2009";71;"R";"2h 33m";"70000000";"321457747";"Once upon a time in Nazi occupied France..."
72;"Amadeus";"1984";72;"PG";"2h 40m";"18000000";"52066791";"The man... The music... The madness... The murder... The motion picture..."
